sample	strain	lineage	accession	chromosome	length	source	vni_subdivision	dataset	samples_in_lineage	samples_in_dataset_lineage	total_samples	norm_chrom_mean	norm_chrom_median	total_cnv_size	n_cnvs	first	last	mean_cnv_depth	median_cnv_depth	repeat_size	dup_coverage_percent	dup_span_size	dup_span_percent	dup_repeat_percent
ERS1142691	20949_2#2	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.02	19500	1	1396501	1416000	1.71	1.71	352	1.37	19499	1.37	0.02
ERS1142691	20949_2#2	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.06	1.04	26000	3	9501	1394500	1.64	1.72	883	1.86	1384999	98.96	0.06
ERS1142691	20949_2#2	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.04	35500	5	16001	1389000	1.71	1.67	1710	2.54	1372999	98.16	0.12
ERS1142691	20949_2#2	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.1	1.06	52000	2	11501	1161500	1.73	1.73	2403	4.38	1149999	96.9	0.2
ERS1142691	20949_2#2	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.1	1.06	46000	5	3001	1049500	1.67	1.63	8144	4.34	1046499	98.73	0.77
ERS1142691	20949_2#2	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	38000	4	12001	1539500	1.75	1.77	4353	2.43	1527499	97.79	0.28
ERS1142691	20949_2#2	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.21	1.12	58000	4	24001	772500	1.94	1.77	5677	7.49	748499	96.7	0.73
ERS1142691	20949_2#2	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.1	1.06	42000	4	8501	738500	1.81	1.73	2695	5.55	729999	96.47	0.36
ERS1142691	20949_2#2	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.12	1.08	36367	5	1501	942867	1.87	1.67	7118	3.86	941366	99.84	0.75
ERS1142692	20427_2#1	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-5	Ashton	853	668	1055	1.01	1.02	14000	3	13501	2268000	1.73	1.78	0	0.61	2254499	98.39	0
ERS1142692	20427_2#1	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-5	Ashton	853	668	1055	1.17	0.96	13500	3	4501	1619000	18.37	1.77	3735	0.83	1614499	99.56	0.23
ERS1142692	20427_2#1	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-5	Ashton	853	668	1055	1.02	0.98	4000	1	1533001	1537000	11.06	11.06	312	0.25	3999	0.25	0.02
ERS1142692	20427_2#1	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-5	Ashton	853	668	1055	1.04	1.02	10500	2	22001	1074500	1.72	1.72	184	0.97	1052499	97.02	0.02
ERS1142692	20427_2#1	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-5	Ashton	853	668	1055	1.01	1	3000	1	1788001	1791000	1.62	1.62	375	0.17	2999	0.17	0.02
ERS1142692	20427_2#1	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-5	Ashton	853	668	1055	1.05	1.04	15500	3	5501	1415500	1.78	1.81	334	1.09	1409999	99.12	0.02
ERS1142692	20427_2#1	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-5	Ashton	853	668	1055	1.06	1.06	21500	4	15501	1394000	1.71	1.67	4125	1.54	1378499	98.5	0.29
ERS1142692	20427_2#1	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-5	Ashton	853	668	1055	1.03	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142692	20427_2#1	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-5	Ashton	853	668	1055	1.02	1	24000	3	4501	1161500	1.7	1.7	4179	2.02	1156999	97.49	0.35
ERS1142692	20427_2#1	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-5	Ashton	853	668	1055	1.08	1.06	19000	3	3501	1045500	2.12	1.74	6971	1.79	1041999	98.31	0.66
ERS1142692	20427_2#1	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-5	Ashton	853	668	1055	0.99	1	15500	2	9501	1537500	1.67	1.67	406	0.99	1527999	97.82	0.03
ERS1142692	20427_2#1	VNI	CP003831.1	chr12	774062	Clinical	VNIa-5	Ashton	853	668	1055	1.12	1.08	23500	3	746001	772500	1.64	1.6	1027	3.04	26499	3.42	0.13
ERS1142692	20427_2#1	VNI	CP003832.1	chr13	756744	Clinical	VNIa-5	Ashton	853	668	1055	1.12	1.08	19000	1	732501	751500	1.88	1.88	5238	2.51	18999	2.51	0.69
ERS1142692	20427_2#1	VNI	CP003833.2	chr14	942867	Clinical	VNIa-5	Ashton	853	668	1055	1.08	1.06	21500	2	2001	932000	1.74	1.74	983	2.28	929999	98.64	0.1
ERS1142693	20427_2#2	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	11000	1	339501	350500	6.16	6.16	0	0.48	10999	0.48	0
ERS1142693	20427_2#2	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.2	1	6500	1	274501	281000	55.14	55.14	3735	0.4	6499	0.4	0.23
ERS1142693	20427_2#2	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142693	20427_2#2	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142693	20427_2#2	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142693	20427_2#2	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142693	20427_2#2	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1	1	4000	1	164001	168000	1.84	1.84	3807	0.29	3999	0.29	0.27
ERS1142693	20427_2#2	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142693	20427_2#2	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142693	20427_2#2	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142693	20427_2#2	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4500	1	926001	930500	2.12	2.12	3387	0.29	4499	0.29	0.22
ERS1142693	20427_2#2	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.04	3000	1	162501	165500	2.86	2.86	1246	0.39	2999	0.39	0.16
ERS1142693	20427_2#2	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142693	20427_2#2	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	1867	1	941001	942867	0.5	0.5	1303	0.2	1866	0.2	0.14
ERS1142694	20427_2#3	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.01	0.98	11000	1	339501	350500	6.2	6.2	0	0.48	10999	0.48	0
ERS1142694	20427_2#3	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.11	0.96	6500	1	274501	281000	40.99	40.99	3735	0.4	6499	0.4	0.23
ERS1142694	20427_2#3	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142694	20427_2#3	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.04	1500	1	14001	15500	1.45	1.45	1219	0.14	1499	0.14	0.11
ERS1142694	20427_2#3	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142694	20427_2#3	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142694	20427_2#3	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.02	4000	1	164001	168000	2	2	3807	0.29	3999	0.29	0.27
ERS1142694	20427_2#3	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142694	20427_2#3	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.06	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142694	20427_2#3	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.06	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142694	20427_2#3	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4500	1	926001	930500	2.01	2.01	3387	0.29	4499	0.29	0.22
ERS1142694	20427_2#3	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.13	1.09	6000	1	161001	167000	2.82	2.82	3104	0.78	5999	0.78	0.4
ERS1142694	20427_2#3	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142694	20427_2#3	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.02	1867	1	941001	942867	0.59	0.59	1303	0.2	1866	0.2	0.14
ERS1142695	20427_2#4	VNI	CP003820.1	chr01	2291499	Clinical	VNIb	Ashton	853	668	1055	1	0.98	2500	1	1	2500	19.54	19.54	0	0.11	2499	0.11	0
ERS1142695	20427_2#4	VNI	CP003821.1	chr02	1621675	Clinical	VNIb	Ashton	853	668	1055	1.2	0.98	7000	1	274501	281500	55.06	55.06	4210	0.43	6999	0.43	0.26
ERS1142695	20427_2#4	VNI	CP003822.1	chr03	1575141	Clinical	VNIb	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003823.1	chr04	1084805	Clinical	VNIb	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003824.1	chr05	1814975	Clinical	VNIb	Ashton	853	668	1055	0.98	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003825.1	chr06	1422463	Clinical	VNIb	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003826.1	chr07	1399503	Clinical	VNIb	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003827.1	chr08	1398693	Clinical	VNIb	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003828.1	chr09	1186808	Clinical	VNIb	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003829.1	chr10	1059964	Clinical	VNIb	Ashton	853	668	1055	1.03	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003830.1	chr11	1561994	Clinical	VNIb	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003831.1	chr12	774062	Clinical	VNIb	Ashton	853	668	1055	1.06	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003832.1	chr13	756744	Clinical	VNIb	Ashton	853	668	1055	1.03	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142695	20427_2#4	VNI	CP003833.2	chr14	942867	Clinical	VNIb	Ashton	853	668	1055	1.02	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-32	Ashton	853	668	1055	1	1	11000	1	339501	350500	3.22	3.22	0	0.48	10999	0.48	0
ERS1142696	20427_2#5	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-32	Ashton	853	668	1055	1.19	0.98	7000	1	274501	281500	54.5	54.5	4210	0.43	6999	0.43	0.26
ERS1142696	20427_2#5	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-32	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-32	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-32	Ashton	853	668	1055	1.02	1	38000	1	7501	45500	2.07	2.07	3175	2.09	37999	2.09	0.17
ERS1142696	20427_2#5	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-32	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-32	Ashton	853	668	1055	1	1	4000	1	164001	168000	1.92	1.92	3807	0.29	3999	0.29	0.27
ERS1142696	20427_2#5	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-32	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-32	Ashton	853	668	1055	1.02	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-32	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-32	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003831.1	chr12	774062	Clinical	VNIa-32	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003832.1	chr13	756744	Clinical	VNIa-32	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142696	20427_2#5	VNI	CP003833.2	chr14	942867	Clinical	VNIa-32	Ashton	853	668	1055	0.99	1	867	1	942001	942867	0	0	867	0.09	866	0.09	0.09
ERS1142697	20427_2#6	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-93	Ashton	853	668	1055	0.98	0.93	11000	1	339501	350500	8.02	8.02	0	0.48	10999	0.48	0
ERS1142697	20427_2#6	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-93	Ashton	853	668	1055	1.16	0.93	6500	1	274501	281000	60.63	60.63	3735	0.4	6499	0.4	0.23
ERS1142697	20427_2#6	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-93	Ashton	853	668	1055	0.99	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142697	20427_2#6	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-93	Ashton	853	668	1055	1.03	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142697	20427_2#6	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-93	Ashton	853	668	1055	0.98	0.98	3000	1	475001	478000	1.96	1.96	810	0.17	2999	0.17	0.04
ERS1142697	20427_2#6	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-93	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142697	20427_2#6	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-93	Ashton	853	668	1055	1.03	1.02	10000	2	164001	1195500	2	2	3912	0.71	1031499	73.7	0.28
ERS1142697	20427_2#6	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-93	Ashton	853	668	1055	1.02	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142697	20427_2#6	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-93	Ashton	853	668	1055	1.06	1.04	6000	1	4501	10500	2.6	2.6	2512	0.51	5999	0.51	0.21
ERS1142697	20427_2#6	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-93	Ashton	853	668	1055	1.08	1.07	5000	1	582001	587000	6.48	6.48	2535	0.47	4999	0.47	0.24
ERS1142697	20427_2#6	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-93	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142697	20427_2#6	VNI	CP003831.1	chr12	774062	Clinical	VNIa-93	Ashton	853	668	1055	2.2	2.24	741500	2	19501	774000	2.27	2.27	34313	95.79	754499	97.47	4.43
ERS1142697	20427_2#6	VNI	CP003832.1	chr13	756744	Clinical	VNIa-93	Ashton	853	668	1055	1.12	1.13	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142697	20427_2#6	VNI	CP003833.2	chr14	942867	Clinical	VNIa-93	Ashton	853	668	1055	1.09	1.09	3500	1	925001	928500	2.37	2.37	47	0.37	3499	0.37	0
ERS1142698	20427_2#7	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1	0.97	11000	1	339501	350500	6.22	6.22	0	0.48	10999	0.48	0
ERS1142698	20427_2#7	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.23	0.97	7500	1	274001	281500	64.52	64.52	4710	0.46	7499	0.46	0.29
ERS1142698	20427_2#7	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4500	1	926001	930500	2.09	2.09	3387	0.29	4499	0.29	0.22
ERS1142698	20427_2#7	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.03	4500	1	162501	167000	2.64	2.64	1607	0.58	4499	0.58	0.21
ERS1142698	20427_2#7	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142698	20427_2#7	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1	1	867	1	942001	942867	0	0	867	0.09	866	0.09	0.09
ERS1142699	20427_2#8	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.94	11000	1	339501	350500	7.24	7.24	0	0.48	10999	0.48	0
ERS1142699	20427_2#8	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.14	0.94	7000	1	274501	281500	48.37	48.37	4210	0.43	6999	0.43	0.26
ERS1142699	20427_2#8	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	6000	1	11501	17500	1.65	1.65	0	0.38	5999	0.38	0
ERS1142699	20427_2#8	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.03	4500	1	13501	18000	1.85	1.85	1538	0.41	4499	0.41	0.14
ERS1142699	20427_2#8	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142699	20427_2#8	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	9500	1	1406501	1416000	1.81	1.81	96	0.67	9499	0.67	0.01
ERS1142699	20427_2#8	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1	1	4000	1	164001	168000	1.92	1.92	3807	0.29	3999	0.29	0.27
ERS1142699	20427_2#8	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.03	13000	2	25501	1387000	1.74	1.74	689	0.93	1361499	97.34	0.05
ERS1142699	20427_2#8	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142699	20427_2#8	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.03	7500	1	3501	11000	1.78	1.78	968	0.71	7499	0.71	0.09
ERS1142699	20427_2#8	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	10500	5	14501	1536500	1.64	1.64	2994	0.67	1521999	97.44	0.19
ERS1142699	20427_2#8	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.11	1.06	26500	3	26001	774000	2.37	1.67	2600	3.42	747999	96.63	0.34
ERS1142699	20427_2#8	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.03	12000	2	9001	739500	1.73	1.73	2258	1.59	730499	96.53	0.3
ERS1142699	20427_2#8	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.03	3367	2	3501	942867	1.09	1.09	1303	0.36	939366	99.63	0.14
ERS1142700	20427_2#9	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-32	Ashton	853	668	1055	0.99	1	11000	1	339501	350500	2.66	2.66	0	0.48	10999	0.48	0
ERS1142700	20427_2#9	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-32	Ashton	853	668	1055	1.24	0.97	7500	1	274001	281500	65.56	65.56	4710	0.46	7499	0.46	0.29
